Variable,Mean,Std,Min,Max,AR(1),Nobs
gy_H_obs,0.00343439912388292,0.0203949159130235,-0.130331412258712,0.142771134885683,-0.235034131004565,106
gy_F_obs,0.00266121462129161,0.014901793714595,-0.0929284100755563,0.0832058071376736,-0.139884401148618,106
pi_H_obs,-0.000334384808611535,0.00549238394105417,-0.0103347903995075,0.0210064658973574,0.258755939718567,106
pi_F_obs,9.6992267709475e-05,0.0070497721584778,-0.0136283397066133,0.0281137680975205,0.331088546529866,106
gc_H_obs,0.00358882307779229,0.0215356212914765,-0.108646511744025,0.158631015079317,-0.392962131340089,106
gc_F_obs,0.00210388544525652,0.01806101386229,-0.112205769089742,0.109199189423842,-0.248449489045749,106
r_H_obs,-0.00585290880628127,0.00442933771275287,-0.0114160833345832,0.0025603333320835,0.976772924256022,106
gex_H_obs,0.007017716335616,0.0384408628312482,-0.278326893195009,0.173497336200249,-0.0467120364926266,106
gex_F_obs,0.00895938817619347,0.0364046179926321,-0.23186209100419,0.160385856431615,-0.012601333825735,106
pi_NRG_H_q,0.00904440918919281,0.0303343051306611,-0.0943356417158476,0.0827616854451927,0.322100585448343,106
pi_NRG_F_q,0.0100930898452249,0.0304698691588817,-0.0705927554730357,0.137134480762641,0.352646547183748,106
