variable,horizon_Q,baseline,hawkish,difference
pi_H,4,1.71721982070965,1.42270469019401,-0.294515130515638
pi_F,4,3.62125022371771,3.27440157966805,-0.346848644049658
pi_UEM,4,2.91936907191808,2.59181208765433,-0.327556984263744
gy_H_obs,4,0.0315035798327046,0.0223396221041469,-0.00916395772855775
gy_F_obs,4,-0.146988404596073,-0.14912536519194,-0.00213696059586638
NFA_H,4,0.277193369604324,0.441360297268003,0.164166927663679
pi_H,8,2.60524906661921,2.40554953586436,-0.199699530754849
pi_F,8,2.46349892497326,2.22476657419204,-0.238732350781223
pi_UEM,8,2.51575216238438,2.2914084477482,-0.224343714636177
gy_H_obs,8,-0.00770795767672215,-0.00444158320961738,0.00326637446710477
gy_F_obs,8,-0.0503231013824348,-0.0488227789232065,0.00150032245922826
NFA_H,8,1.35116523579394,1.72102744137385,0.369862205579907
