date,eta_z_H,eta_p_H,eta_x_H,eta_g_H,eta_z_F,eta_p_F,eta_x_F,eta_g_F,eta_r,init_values,steady_state
1999.25,5.85009085106373e-08,2.15334712874856e-09,-1.03588416560157e-08,3.58872274393025e-09,5.16761181274727e-07,3.27891120245838e-09,3.20785964538566e-10,-5.50215992142628e-08,-7.01173405881876e-06,0.000938306378035998,0.000931813867393134
1999.5,5.62578842092754e-08,1.36360948724394e-08,-1.41878364601684e-08,-2.74490460323417e-09,4.61309552454672e-07,-1.05264303847e-07,-1.43878888073208e-10,-7.53595312440514e-08,-5.37148392585293e-06,-0.000804450061912682,-0.000809488042762041
1999.75,3.76033358099878e-08,2.05592327367247e-08,-7.75223205626607e-07,-2.53790627636752e-07,-2.12736435271418e-07,-2.59293835523623e-07,-2.67293840138349e-08,-4.11764383876033e-06,-2.33319544878001e-06,-0.0054456629568859,-0.00545358340709297
2000,-6.7794985823905e-05,-1.21809989617371e-06,6.59790792118358e-08,8.16233110075686e-07,-0.000210349465735476,-6.88184413107189e-05,7.28429453072197e-08,3.50451775735966e-07,0.00280404773144293,-0.00271143675650863,-0.000254264510921644
2000.25,9.15607197170474e-05,-4.43955888805132e-06,5.41313364441564e-06,-2.18965775675654e-06,0.000393944669250357,0.000132352579443619,-2.15914192713775e-07,2.87521790337768e-05,-0.0021414418189145,-0.000994833987438959,-0.00249109765610176
2000.5,0.000123386503801704,9.88498939794241e-06,9.81890214691724e-06,3.33595043164543e-07,0.0014710478865059,0.000198114905744816,-5.44038765658269e-08,5.21536786246809e-05,-0.00147074437273169,6.09776324706065e-05,0.000454919317127479
2000.75,0.000154239322004324,2.35201979476766e-05,5.02472718870332e-06,1.73169702554195e-06,0.00105439825157114,0.000145973624743119,1.79309678030008e-08,2.66891352062824e-05,-0.00300078547041667,0.000687386734157201,-0.000901803849604874
2001,3.37600158191228e-06,2.8845107913269e-05,5.69827370446187e-06,4.80579429411317e-06,0.00046722447452136,-5.41528756431092e-05,2.99818279352841e-07,3.02667173021253e-05,-0.00229244380659766,0.00103544619453449,-0.000770634300109688
2001.25,7.55318329214265e-05,1.75607152960628e-05,-2.26167496476963e-06,1.8693776959251e-06,-0.000553309883593403,-4.73339898670638e-05,7.36281665480467e-08,-1.20130201422889e-05,0.0038229068873166,0.00120431818031061,0.00450734205313966
2001.5,-4.50456816449255e-05,1.01738650112526e-05,-4.64848638909509e-06,2.91592724635892e-06,-0.000834563899376386,-0.000179034511788094,2.12544093167002e-07,-2.4690709979647e-05,-0.00360789930653057,0.00125936723208707,-0.00342321302727086
2001.75,-0.00016765471528303,-9.98664844740573e-06,-1.1456800914765e-05,2.3023356300196e-06,-0.00177908486047507,-0.000315361424127263,2.47454489695759e-07,-6.08534746588955e-05,-0.00509580363325528,0.00124377131951982,-0.00619388044752218
2002,-0.000170361030079922,-3.44144773255099e-05,-3.16243268059516e-06,-1.18695012537731e-06,-0.000307773972705668,-0.00012507431848191,4.57985138624776e-08,-1.67974479456169e-05,0.00195712534616883,0.00118604004061831,0.00248444055595641
2002.25,-4.65719737665629e-05,-4.17886497542294e-05,-9.19309421938489e-07,-4.76941533269701e-06,-0.000438432793990925,-9.87926045130396e-06,-2.5329637912391e-07,-4.88296628594817e-06,-0.00196437582964371,0.00110492586197848,-0.00140694763304796
2002.5,-5.41816175951857e-05,-3.63363191104057e-05,2.03098877120446e-06,-3.33555893220826e-06,-0.000213702973583717,-2.86375452864108e-05,-1.46629721850248e-07,1.07877168016171e-05,-0.00485028061094541,0.00101265985394897,-0.00416114269565339
2002.75,-3.29339796245569e-05,-3.45237521476805e-05,-5.60154773117759e-06,-3.07462911850844e-06,-0.00125536361222371,-0.000111441001071303,-1.44672778057333e-07,-2.9752951582715e-05,-0.00457716691151571,0.000917100718366618,-0.00513290233942679
