variable,horizon,eta_z_H,eta_p_H,eta_x_H,eta_g_H,eta_z_F,eta_p_F,eta_x_F,eta_g_F,eta_r,ME
gy_H_obs,1,0.19,0.04,0.00,0.22,0.02,0.00,0.01,0.00,0.25,99.26
gy_H_obs,4,0.24,0.08,0.00,0.26,0.02,0.00,0.01,0.00,0.31,99.08
gy_H_obs,10,0.28,0.08,0.00,0.26,0.02,0.00,0.01,0.00,0.33,99.02
gy_H_obs,inf,0.28,0.08,0.00,0.26,0.02,0.00,0.01,0.00,0.33,99.00
gy_F_obs,1,0.04,0.00,0.06,0.00,0.20,0.01,0.00,0.30,0.01,99.37
gy_F_obs,4,0.05,0.00,0.06,0.00,0.36,0.02,0.00,0.33,0.01,99.15
gy_F_obs,10,0.06,0.01,0.06,0.00,0.37,0.02,0.00,0.34,0.02,99.11
gy_F_obs,inf,0.06,0.01,0.06,0.00,0.41,0.02,0.00,0.34,0.03,99.07
pi_H_obs,1,10.20,2.25,0.00,0.39,0.00,0.00,0.02,0.00,62.20,24.93
pi_H_obs,4,6.73,1.90,0.00,0.28,0.30,0.01,0.02,0.01,76.54,14.21
pi_H_obs,10,6.34,1.78,0.01,0.26,1.89,0.09,0.01,0.03,76.76,12.83
pi_H_obs,inf,6.21,1.81,0.01,0.26,3.68,0.19,0.01,0.03,75.27,12.55
pi_F_obs,1,0.11,0.44,0.04,0.00,8.83,0.43,0.00,0.23,76.26,13.65
pi_F_obs,4,0.17,0.47,0.03,0.00,7.38,0.36,0.00,0.16,84.31,7.11
pi_F_obs,10,0.19,0.52,0.03,0.00,6.87,0.34,0.00,0.15,85.50,6.40
pi_F_obs,inf,0.19,0.55,0.03,0.00,6.92,0.34,0.00,0.15,85.45,6.37
